,log_dir,frame_per_second,episode_reward,policy_loss,entropy,discriminator_loss,gail_reward,total_loss,grad_norm,adv_mean,ratio,total_steps,total_episodes,iteration,total_time,success_rate
0,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,427,10.890705915262206,-1.0031714453147007,2.706848969215002,0.8345189013542273,0.056869348167226864,-1.0031714517336625,1.4923295555970608,,1.0033427010744045,10000,7,0,23.40656280517578,0.0
1,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,428,10.233386261306165,-0.9998747918850336,2.693888870875041,0.18312448958555858,0.034020643356518866,-0.9998747918850336,1.4700839687616398,,0.9999835309309837,20000,19,1,46.68733811378479,0.0
2,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,410,10.36819368634918,-1.0030058281543928,2.5748220009681506,0.10733442532901581,0.02774306605450618,-1.0030058299883817,1.5083010856921857,,1.0030797076530946,30000,30,2,73.09431266784668,0.0
3,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,10.510211026136313,-1.0028342755941244,2.4907103367340873,0.08955375187290021,0.025784449546765058,-1.002834278650773,1.3617384416934772,,1.0030015188914079,40000,41,3,99.8077962398529,0.0
4,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,405,10.134641249465094,-1.0035445673343464,2.380230283125853,0.08957649413973857,0.019155575953519497,-1.0035445736004756,1.5291121684587918,,1.0038063801251924,50000,54,4,123.22809958457947,0.0
5,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,411,10.477042957872712,-1.0012874872256547,2.275201049829141,0.0738483516833721,0.02925092716438648,-1.0012874921162924,4.047908753615159,,1.0014766014539278,60000,64,5,145.7113335132599,0.0
6,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,408,10.526433583072082,-1.0001185921522286,2.1650934922389493,0.07013449036062527,0.017652402963871376,-1.0001186011693417,1.6203523229330015,,1.0006607287969345,70000,76,6,171.47920608520508,0.0
7,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,10.90087911675925,-1.0018410968474853,2.078125800230564,0.06624978382426959,0.017773991911552656,-1.001841101432458,1.4384043687429184,,1.0019344007357573,80000,88,7,196.81599688529968,0.0
8,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,406,10.65677135621465,-1.0019427816073099,1.964685640579615,0.06774049582294164,0.009367395621031905,-1.0019427854281204,2.9767988651226727,,1.002185479647074,90000,103,8,221.37575697898865,0.0
9,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,404,10.186929858250373,-0.9986961253178426,1.9134683838257422,0.07271494706853843,0.03339356219348235,-0.9986961274574965,3.032808559368818,,0.9989924238278316,100000,119,9,247.0402126312256,0.0
10,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,403,9.391187501673977,-0.9998741921706077,1.8710312439845158,0.06731546469128284,0.03983864805255181,-0.999874195532921,3.234041144909003,,1.000097450079062,110000,138,10,272.2957675457001,0.0
11,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,402,8.579274636134747,-1.00106988014319,1.7894624471664429,0.06466877779517419,0.020557052974039928,-1.0010698827413411,2.3771500067833142,,1.0012136308046489,120000,158,11,298.45507526397705,0.0
12,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,7.29352959160871,-1.0013587325047224,1.662373100182949,0.05752357703944047,0.014864775058455192,-1.0013587354085385,2.8324109074396966,,1.0016484116896605,130000,175,12,324.2892470359802,0.0
13,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,5.927631130140577,-1.0008843710789315,1.5147111470882708,0.057725466515582344,0.00901554891338142,-1.0008843762752337,2.5134730253464137,,1.0010229164209121,140000,197,13,349.74661588668823,0.0
14,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,5.2260887905833435,-0.999291712198502,1.482300747357882,0.05588757111571538,0.004933344627109666,-0.9992917123513344,2.583342944353055,,0.9995453082598172,150000,219,14,373.858615398407,0.0
15,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,5.029432707770849,-1.0030518492062888,1.383133546816997,0.054125270018210776,0.004867019318641187,-1.003051855472418,2.579923295057737,,1.0034315576920143,160000,241,15,399.25607800483704,0.0
16,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,400,5.068602105805284,-1.0004015557276897,1.2646850809072836,0.05229587225864331,0.015444098882233867,-1.0004015589371706,4.013569078078636,,1.0005924062851148,170000,260,16,424.2597255706787,0.0
17,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,401,5.434378463284259,-1.00194410773424,1.0999384595797612,0.04768324953814348,0.021563770471570584,-1.0019441054417537,3.7976187308629354,,1.0023099777026054,180000,280,17,448.80175590515137,0.0
18,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,4.810446807174804,-0.9995436171690623,1.082622997271709,0.052224241096812944,0.025738103850147662,-0.9995436194615487,4.546523495209523,,0.9998840562808208,190000,309,18,475.5785994529724,0.0
19,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,399,4.258668638695398,-1.0008788237204918,0.9384508029008523,0.04962258018457737,0.01363598153902552,-1.0008788304451184,3.7045937984417647,,1.0015656544612004,200000,335,19,500.8826503753662,0.0
20,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,397,2.91324463350139,-1.0017031781184367,0.7499063092928666,0.05250196350404085,0.004498348612553225,-1.0017031830090743,4.4383631616066666,,1.0023663649192223,210000,371,20,527.9263250827789,0.0
21,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,397,2.5697441611920544,-1.0000943053991367,0.6778969180889619,0.050582525711984204,0.012195591882874186,-1.0000943063161312,4.372752678394318,,1.0005201414609566,220000,406,21,553.2678320407867,0.0
22,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,396,2.422025646945177,-1.0019693484673133,0.5391299713116425,0.04514954500855543,0.010102852753315789,-1.001969352288124,4.392516816885044,,1.0023771649751907,230000,440,22,579.3882732391357,0.0
23,/home/felix/Documents/GitHub/cs269_assignment-2022fall/assignment3/MetaDrive-Tut-20Env-v0/gail,397,3.1032335926488215,-0.9995519867310158,0.45185169661656405,0.043643429978058125,0.012988823987782384,-0.9995519864253509,5.658322643163877,,1.0004761967903528,240000,467,23,604.4374315738678,0.0
