,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-50Env-v0,326,8.808909680038898,1771,2,5.424381494522095,,,,0.0
1,MetaDrive-Tut-50Env-v0,344,9.821066987621856,2772,3,8.04417371749878,,,,0.0
2,MetaDrive-Tut-50Env-v0,328,9.80479431102753,3773,4,11.490866422653198,,,,0.0
3,MetaDrive-Tut-50Env-v0,337,10.111714268249608,4774,5,14.141063213348389,,,,0.0
4,MetaDrive-Tut-50Env-v0,346,10.458105993556442,5775,6,16.658180236816406,,,,0.0
5,MetaDrive-Tut-50Env-v0,349,9.53013464422591,6626,7,18.962005138397217,,,,0.0
6,MetaDrive-Tut-50Env-v0,350,9.971149265145336,7627,8,21.75277876853943,,,,0.0
7,MetaDrive-Tut-50Env-v0,362,9.889066980899207,8628,9,23.823944568634033,,,,0.0
8,MetaDrive-Tut-50Env-v0,360,10.056082356359871,9629,10,26.7221736907959,,,,0.0
9,MetaDrive-Tut-50Env-v0,319,9.267574437182585,10033,11,31.38965153694153,-0.00702035054564476,-0.016940349712967873,0.19797417521476746,0.0
10,MetaDrive-Tut-50Env-v0,49,1.0449196033648651,11021,48,222.96717429161072,0.01742655597627163,-0.03154398500919342,0.3995870351791382,0.0
